,Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
133,40.79337553,-73.95759438,35E-PM-1006-07,PM,2018-10-06,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,1
134,40.77288774,-73.96941681,11G-PM-1013-01,PM,2018-10-13,Adult,Gray,Above Ground,In the Woods/Brush,0,0,1,0,1,,0,0,0,0,0,0,0,1
135,40.79258078,-73.95286825,36I-PM-1007-13,PM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,1,0,,0,0,0,0,1,1,0,0
136,40.7724665,-73.97824171,7A-AM-1006-01,AM,2018-10-06,Adult,Gray,Above Ground,in tree,0,0,0,0,1,,0,1,0,0,1,0,0,0
137,40.77007508,-73.97214429,7G-PM-1018-03,PM,2018-10-18,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,0
138,40.77698846,-73.96984738,14E-AM-1008-05,AM,2018-10-08,Adult,Gray,Above Ground,,0,0,1,0,0,nest building,0,0,0,0,0,0,1,0
139,40.76848382,-73.97686528,3D-PM-1010-03,PM,2018-10-10,Adult,Cinnamon,Ground Plane,,0,0,0,0,0,,0,0,0,0,0,0,0,0
140,40.7937581,-73.95909928,35D-PM-1013-09,PM,2018-10-13,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
141,40.77057119,-73.9724064,7F-PM-1012-01,PM,2018-10-12,Adult,Gray,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,0,1,0
142,40.77878726,-73.96613613,18G-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,0,0,0,1,1,burying,0,0,0,0,0,0,0,1
143,40.77013042,-73.97307506,6F-PM-1008-01,PM,2018-10-08,Adult,Gray,Above Ground,,0,1,0,0,0,,0,0,0,0,0,0,0,0
144,40.77208681,-73.97197067,9F-AM-1013-04,AM,2018-10-13,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,0,0
145,40.79510444,-73.95621175,38E-AM-1010-09,AM,2018-10-10,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
146,40.79054235,-73.95640236,33G-AM-1013-02,AM,2018-10-13,Adult,Gray,Above Ground,shelter in hole in tree,0,0,1,0,0,,0,0,0,0,0,0,1,1
147,40.79524755,-73.95326201,39G-AM-1018-01,AM,2018-10-18,Adult,Gray,Ground Plane,,0,0,0,0,0,dead (something ran over it),0,0,0,0,0,0,0,0
148,40.79044099,-73.95763493,32G-PM-1013-03,PM,2018-10-13,Juvenile,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
149,40.76863511,-73.97634308,4D-PM-1008-11,PM,2018-10-08,Adult,Cinnamon,Above Ground,on tree facing downward,0,1,0,0,0,chased #12,1,0,0,1,0,0,0,1
150,40.76948866,-73.97147891,6H-AM-1008-01,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,0,0,0,1,0,,0,0,0,0,0,0,0,0
151,40.76978834,-73.97551337,5E-AM-1008-08,AM,2018-10-08,Adult,Gray,Ground Plane,,1,0,0,0,0,,0,0,0,0,0,0,1,0
152,40.77732954,-73.9702349,15D-PM-1017-01,PM,2018-10-17,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,0,1,0
153,40.77816584,-73.96860561,16E-AM-1014-03,AM,2018-10-14,Adult,Gray,Ground Plane,,0,0,0,1,1,,0,0,0,0,0,1,0,0
154,40.79495985,-73.95221424,39H-PM-1013-02,PM,2018-10-13,Juvenile,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,1,0,1,0
155,40.79727519,-73.957659,39C-PM-1006-02,PM,2018-10-06,Adult,Gray,Above Ground,,0,0,1,0,0,,0,0,0,0,0,0,0,0
156,40.79157004,-73.96379469,31A-AM-1010-04,AM,2018-10-10,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,1,0,0,0
157,40.77238897,-73.97109911,9F-PM-1014-02,PM,2018-10-14,Adult,Gray,Ground Plane,,0,0,0,1,0,,0,0,0,0,0,0,1,0
158,40.78104501,-73.96382703,21G-PM-1007-02,PM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,1,0,,0,0,0,1,0,0,0,1
159,40.76700903,-73.9756015,2F-AM-1006-01,AM,2018-10-06,Adult,Gray,Ground Plane,walking along path,0,0,0,0,1,,0,0,0,0,1,0,1,0
160,40.78091878,-73.96496326,20F-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,0,0,0,1,1,,0,0,0,0,1,0,1,0
161,40.79315291,-73.9572192,35E-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,0,0,0,0,1,,0,0,0,0,0,1,0,0
